model_output,prediction,true_class
6.0397333823773005,1,1
2.4507868644916986,0,0
2.417882500825402,0,1
-0.4515346017435535,0,0
1.1733960375027341,0,0
0.05690876373192699,0,1
0.12921652880285037,0,0
-1.3129768078015163,0,0
6.604656119169221,1,1
1.0717137146871476,0,0
-1.0283647292801559,0,0
2.9518782014733285,0,0
4.051560865737862,1,0
3.369710624917835,1,1
0.928707092160307,0,0
3.5424383437291778,1,1
-0.6867087506196762,0,0
-0.3917014946340519,0,0
0.560531058746023,0,0
3.312672180596508,1,1
-0.6084943509476362,0,0
3.405216590672664,1,1
-0.35066651690749595,0,0
0.3263999586778509,0,0
0.23895380710509695,0,0
-0.14305823598978484,0,0
-0.34888613441508964,0,0
-0.8291575616973309,0,0
-0.861368872495071,0,0
-0.9339996330897425,0,0
0.2515951855334576,0,0
-2.274550816538351,0,0
-1.6576456833701525,0,0
1.2637503238483347,0,0
-0.9935302725052855,0,0
1.1029419394433604,0,0
-0.6088387272832964,0,0
3.8186221398788707,1,0
1.5285463616460282,0,1
-3.472672804279995,0,0
0.771821397164447,0,0
0.4181356202559213,0,0
4.253179160619921,1,1
1.857769637900642,0,1
-0.007780130403312894,0,0
2.3520009015467367,0,0
0.03708210088950997,0,0
-2.38213681250717,0,0
-1.5647656703128963,0,0
-0.9831170248800869,0,0
-0.2690843470720802,0,0
-0.44731675838003115,0,0
-0.7096772254004221,0,0
0.5288326762040418,0,0
0.6336640074701211,0,0
0.9938281621506942,0,0
4.294905313429918,1,1
4.189485182470049,1,1
-0.08291782624290174,0,0
0.6629654638341207,0,0
0.8120933137004862,0,0
1.0928236719276367,0,0
-0.6349310603526955,0,0
1.3198431334201453,0,0
0.6175410973215492,0,0
-0.5370111416244149,0,0
1.008399155288385,0,0
0.9444981519656692,0,1
0.30976646316231227,0,0
1.0966594171348831,0,0
-0.8345349141779911,0,0
-1.2012928618156988,0,0
-0.8251660664779545,0,0
5.318906361826471,1,1
1.4207840725815166,0,1
-2.1415600416687286,0,0
-3.0890293836617433,0,0
-2.9330947145947097,0,0
0.3465105172408185,0,1
0.17460077998579,0,0
1.0836089980825072,0,0
2.9057751015539175,0,1
0.5467657378288163,0,0
0.2168186570521049,0,0
-1.0096943111619467,0,0
-0.7594583327854153,0,0
2.142874348980715,0,0
0.7931288103003644,0,0
0.9569083291149527,0,0
2.124657981610792,0,0
1.878888904032031,0,1
-2.7741236485731386,0,0
0.05359343678213316,0,0
0.08055665192312969,0,0
-0.27692803887587303,0,0
-1.1670803390902138,0,0
-0.4143967557981786,0,0
0.9657846953752285,0,0
1.00108116387062,0,0
2.4397408509697933,0,0
1.9253773622913146,0,1
2.464155756114857,0,1
1.1660199756502168,0,1
-2.9210871433668197,0,0
-3.322081774320032,0,0
2.6311652805203476,0,0
3.8826558997420424,1,1
5.865203928925628,1,1
-1.7971560366370785,0,0
2.1248284571625704,0,0
-0.5191142657315797,0,0
1.3427141645876404,0,0
2.739815590843932,0,0
-4.986842070397609,0,0
1.2022087093690426,0,0
0.9182048583178233,0,1
1.0392690088187972,0,0
3.3535175339416288,1,1
-0.037428909562695095,0,0
-2.4928062372775606,0,0
-3.149309038364529,0,0
2.2827938844509097,0,0
-3.507231592803709,0,0
4.539805729703379,1,1
-0.5636824111034185,0,0
-0.2352103482907636,0,0
3.9956625634278713,1,0
-1.3170004342392319,0,0
-0.5239124219620491,0,0
2.289288640085007,0,0
0.40847292850000705,0,0
1.1178151100515907,0,0
1.252936181865003,0,0
0.3256398247052448,0,0
0.09872652040573995,0,0
1.2647355507080178,0,0
1.7814013268675009,0,0
0.8179254934614906,0,1
6.437009879403464,1,1
-0.1800588083429924,0,0
-0.5851270047058946,0,0
0.7976963434637666,0,0
5.849682861407994,1,1
-2.463740161488697,0,0
1.1136745144703362,0,0
-0.8253280337686838,0,0
0.8539574483400979,0,0
-0.4384673825343657,0,0
1.9618823178237772,0,1
2.662652381708229,0,1
1.8141546066940668,0,1
2.532709204789308,0,0
-2.2335924611814932,0,0
-0.6493846101798308,0,0
0.9476243859547548,0,0
-2.3255676304658017,0,0
4.418779559200921,1,1
1.0655596691134765,0,0
-1.6970412272084248,0,0
0.7455260409935296,0,0
2.4504457690227675,0,0
-1.6707934971001632,0,0
-0.20666231267063953,0,0
-3.3257568737321535,0,0
5.044426605653203,1,1
-1.1270182489244482,0,0
3.188472731525516,1,1
1.8570357880052697,0,0
1.823366806301093,0,1
0.8183597641144561,0,0
-0.3424727010122005,0,0
-0.6426242302494325,0,0
1.4930374938396236,0,0
0.29545153749138464,0,1
3.1103772867950026,1,1
0.8046084640502538,0,0
3.9215954283067864,1,1
4.424730323417442,1,1
-2.896670905220423,0,0
0.8459061666944848,0,0
5.354130216740809,1,1
-1.1695276304735907,0,0
2.012136956164443,0,1
-1.738982945041772,0,0
-1.8547421812394662,0,0
1.3614655129847968,0,0
-0.7592081372257289,0,0
-0.05436883692913288,0,0
4.611985376691076,1,1
-0.8597802679385806,0,0
1.0267181866894037,0,0
0.8571893241081618,0,0
-3.3935962538697346,0,0
-1.1522954145707467,0,0
2.5545400243284098,0,0
-1.4383296603652387,0,0
4.286592907619926,1,1
0.13615853101706876,0,0
1.4709392375865988,0,1
4.831133746939612,1,1
